DIST	Incumbent	Biden 2020	Trump 2020	Harris 2024	Trump 2024	2026 PVI	2026 Raw PVI	2026 PVI Rank	2025 PVI	2025 Raw PVI	2025 PVI Rank	Raw PVI Shift
AL-01	OPEN (Moore) (R)	111504	209022	103121	220876	R+17	-17.43714107	394	R+27	-27.31458	431	9.9
AL-02	Shomari Figures (D)	139947	166756	123962	165887	R+7	-6.52170754	259	D+5	4.708121	162	-11.2
AL-03	Mike Rogers (R)	93356	225352	82865	230044	R+23	-22.82030907	422	R+23	-22.82031	419	0
AL-04	Robert Aderholt (R)	60120	262489	53096	267955	R+33	-32.94239104	435	R+33	-32.94239	435	0
AL-05	Dale Strong (R)	122869	216421	122345	224703	R+15	-14.511741	366	R+15	-14.51174	358	0
AL-06	Gary Palmer (R)	116892	233531	112016	231535	R+17	-17.21155726	393	R+20	-19.70024	401	2.5
AL-07	Terri Sewell (D)	204936	127599	175158	121748	D+10	9.648003585	124	D+13	12.790294	100	-3.1
AK-AL	Nick Begich III (R)	153778	189951	140026	184458	R+6	-6.455302417	258	R+6	-6.4553	261	0
AZ-01	OPEN (Schweikert) (R)	231932	225358	216232	230237	R+1	-1.001531831	213	R+1	-1.00153	222	0
AZ-02	Eli Crane (R)	183604	215441	174969	237306	R+7	-6.672298381	265	R+7	-6.6723	265	0
AZ-03	Yassamin Ansari (D)	171701	55096	147522	62762	D+22	21.53708177	44	D+22	21.537082	47	0
AZ-04	Greg Stanton (D)	201312	163234	182893	159723	D+4	3.836749204	173	D+4	3.836749	174	0
AZ-05	OPEN (Biggs) (R)	171191	239509	175673	264571	R+10	-9.656569019	303	R+10	-9.65657	300	0
AZ-06	Juan Ciscomani (R)	214838	214441	216024	219323	EVEN	-0.277528118	209	EVEN	-0.27753	215	0
AZ-07	Adelita Grijalva (D)	194401	97456	170352	108028	D+13	12.54269633	96	D+13	12.542696	104	0
AZ-08	Abraham Hamadeh (R)	171082	225856	162183	226186	R+8	-7.909789482	282	R+8	-7.90979	281	0
AZ-09	Paul Gosar (R)	132082	225295	137012	262106	R+15	-15.01871479	371	R+15	-15.01871	364	0
AR-01	Rick Crawford (R)	80521	197853	72187	196030	R+23	-22.58830794	421	R+23	-22.58831	418	0
AR-02	French Hill (R)	140249	183943	131085	180715	R+8	-7.658615776	275	R+8	-7.65862	276	0
AR-03	Steve Womack (R)	110479	180794	112073	189161	R+13	-12.61901748	354	R+13	-12.61902	341	0
AR-04	Bruce Westerman (R)	92683	198057	81560	193335	R+20	-19.78320807	407	R+20	-19.78321	402	0
CA-01	James Gallagher (R)	212964	147017	186118	144379	D+7	7.020964493	144	R+12	-12.06509	339	19.1
CA-02	Jared Huffman (D)	263170	144491	236559	140577	D+13	13.17794234	90	D+24	23.862211	36	-10.7
CA-03	Ami Bera (D)	217623	163088	195637	158302	D+6	5.741306343	157	R+2	-1.71142	224	7.5
CA-04	Mike Thompson (D)	214496	138292	191767	141870	D+8	8.3034485	133	D+17	16.776941	84	-8.5
CA-05	Tom McClintock (R)	159852	215543	139207	214129	R+10	-9.810899028	307	R+8	-8.3944	287	-1.4
CA-06	Kevin Kiley (I)	196529	151560	176808	148595	D+5	4.861249005	164	D+8	7.745836	143	-2.9
CA-07	Doris Matsui (D)	220144	146476	190078	145585	D+7	7.477532559	142	D+16	16.310085	87	-8.8
CA-08	John Garamendi (D)	241492	94851	204496	98043	D+19	18.63986437	63	D+24	23.787415	37	-5.1
CA-09	Josh Harder (D)	183175	105771	145369	114692	D+8	7.767160706	139	D+1	0.918222	205	6.8
CA-10	Mark DeSaulnier (D)	282092	122486	246078	119171	D+18	17.95583281	70	D+18	18.127789	71	-0.2
CA-11	OPEN (Pelosi) (D)	339716	46188	295462	50870	D+36	35.98672304	6	D+36	35.986596	6	0
CA-12	Lateefah Simon (D)	328667	31678	269134	33869	D+39	39.4139939	2	D+39	39.412775	2	0
CA-13	Adam Gray (D)	128684	89225	101620	100584	D+2	2.450716564	186	R+1	-0.70055	220	3.2
CA-14	VACANT (Swalwell) (D)	234592	85794	186701	87449	D+19	19.37682759	58	D+20	19.621198	59	-0.2
CA-15	Kevin Mullin (D)	272983	71576	220581	74238	D+26	25.91612134	28	D+26	25.915003	26	0
CA-16	Sam Liccardo (D)	284912	85226	245899	82180	D+25	25.45208142	29	D+26	25.640419	27	-0.2
CA-17	Ro Khanna (D)	221507	75429	177909	74901	D+21	21.42392965	45	D+21	20.915996	52	0.5
CA-18	Zoe Lofgren (D)	187853	73682	148780	81245	D+16	16.46180067	80	D+17	17.045973	81	-0.6
CA-19	Jimmy Panetta (D)	283131	119846	246279	116839	D+18	18.4275974	66	D+18	18.419975	70	0
CA-20	Vince Fong (R)	118319	204971	103279	204922	R+16	-15.7226102	379	R+15	-14.82286	360	-0.9
